X-Axis Wavelength location in microns. Match cells 1:1 with HyTES_SRF for Y-Axis intensity strength.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
227,11.4212,11.4392,11.4572,11.4752,11.4932,11.5112,11.5292
228,11.4388,11.4568,11.4748,11.4928,11.5108,11.5288,11.5458
229,11.4574,11.4754,11.4934,11.5104,11.5284,11.5464,11.5644
230,11.475,11.492,11.51,11.528,11.546,11.564,11.582
231,11.4917,11.5097,11.5277,11.5457,11.5637,11.5817,11.5997
232,11.5093,11.5273,11.5453,11.5633,11.5803,11.5983,11.6163
233,11.5279,11.5449,11.5629,11.5809,11.5989,11.6169,11.6349
234,11.5445,11.5625,11.5805,11.5985,11.6165,11.6345,11.6525
235,11.5631,11.5811,11.5991,11.6161,11.6341,11.6521,11.6701
236,11.5798,11.5978,11.6158,11.6338,11.6518,11.6698,11.6878
237,11.5974,11.6154,11.6334,11.6514,11.6684,11.6864,11.7044
238,11.615,11.633,11.651,11.669,11.687,11.705,11.723
239,11.6326,11.6506,11.6686,11.6866,11.7046,11.7216,11.7396
240,11.6502,11.6682,11.6862,11.7042,11.7222,11.7402,11.7582
241,11.6679,11.6859,11.7039,11.7219,11.7399,11.7579,11.7749
242,11.6865,11.7035,11.7215,11.7395,11.7575,11.7755,11.7935
243,11.7031,11.7211,11.7391,11.7571,11.7751,11.7921,11.8101
244,11.7207,11.7387,11.7567,11.7747,11.7927,11.8107,11.8287
245,11.7383,11.7563,11.7743,11.7923,11.8103,11.8273,11.8453
246,11.756,11.774,11.792,11.81,11.828,11.846,11.864
247,11.7736,11.7916,11.8096,11.8276,11.8456,11.8626,11.8806
248,11.7912,11.8092,11.8272,11.8452,11.8632,11.8812,11.8992
249,11.8088,11.8268,11.8448,11.8628,11.8808,11.8978,11.9158
250,11.8264,11.8444,11.8624,11.8804,11.8984,11.9164,11.9344
251,11.8441,11.8621,11.8801,11.8981,11.9161,11.9331,11.9511
252,11.8627,11.8797,11.8977,11.9157,11.9337,11.9517,11.9697
253,11.8793,11.8973,11.9153,11.9333,11.9513,11.9693,11.9873
254,11.8979,11.9159,11.9339,11.9509,11.9689,11.9869,12.0049
255,11.9145,11.9325,11.9505,11.9685,11.9865,12.0045,12.0225
256,11.9322,11.9502,11.9682,11.9862,12.0042,12.0222,12.0392
